slug,title,gaggle,songwriter,words,band
"dont-let-a-smile-be-your-umbrella","Don’t Let a Smile Be Your Umbrella","New York City Metro","Sunny Armer","178","tight"
"raging-granny-rap","Raging Granny Rap","Victoria (historical)","Victoria Grans","178","tight"
"the-sun-is-burning-in-the-sky","The Sun is Burning in the Sky","Olympia","Ian Campbell","178","tight"
"too-many-children-have-died","Too Many Children Have Died","Madison","Sheila Plotkin","178","tight"
"what-is-critical-race-theory","What Is Critical Race Theory?","Tucson","Lee Stanfield","178","tight"
"world-heat","World Heat","Boston (historical)","Mary Gilbert","178","tight"
"demography-vs-democracy","Demography vs. Democracy","New York City Metro","Nora Freeman","179","tight"
"lincolns-legacy","Lincoln’s Legacy","Madison","Sheila Plotkin","179","tight"
"not-the-answer","NOT THE ANSWER!","Tucson","Lee Stanfield","179","tight"
"privatize-education","Privatize (Education)","Tucson","Lee Stanfield","179","tight"
"r-u-ready-4-world-war-3","R U Ready 4 World War 3?","Tucson","Hank Tusinski and Lee Stanfield","179","tight"
"treat-us-the-same","Treat Us The Same","Calgary","Unlisted Songwriter","179","tight"
"american-congress","American Congress","Tucson","Lee","180","tight"
"cia-hideaway","CIA Hideaway","Tucson","Connie Graves","180","tight"
"enough","ENOUGH!","Tucson","Hank Tusinski","180","tight"
"gotta-stop-the-raids","Gotta Stop the Raids","Santa Fe (historical)","Linda Hassemer and Marcy Matasick","180","tight"
"hammer-for-mumia","Hammer For Mumia","New York City Metro","Nora Freeman and Sunny Armer","180","tight"
"raise-your-voice-for-palestine","RAISE YOUR VOICE FOR PALESTINE","New Mexico","Marcy Matasick","180","tight"
"the-grannies-lament","The Grannies’ Lament","Rochester","Vicki Ryder","180","tight"
"the-vote-song","The Vote Song","Montreal","Montreal Raging Grannies","180","tight"
"true-stories-a-talking-song-about-safe-sex","True Stories – A Talking Song About Safe Sex","Kingston (historical)","Rose DeShaw","180","tight"
"we-are-the-guardrails-now","We Are the Guardrails Now","Madison","Sheila Plotkin","180","tight"
"if-we-had-healthcare","If We Had Healthcare","Guelph","Raging Grannies, Guelph","181","tight"
"shooting-shooting-shooting","Shooting, Shooting, Shooting","Rochester","Vicki Ryder","181","tight"
"were-rising-up-revised","We’re Rising Up (REVISED)","Triangle","Vicki Ryder","181","tight"
"hang-down-your-head-pam-bondi","Hang Down Your Head, Pam Bondi","Piedmont","Paula Miller","182","tight"
"kilmar-abrego-garcia","Kilmar Abrego Garcia","Unknown","Unlisted Songwriter","182","tight"
"pay-o","Pay-O","Portland","Steph Bairey","182","tight"
"weve-always-paid-our-taxes-tax-day-2010","We’ve Always Paid Our Taxes (Tax Day 2010)","Santa Cruz","Evie Shobin and Jan Harwood and Vicki Ryder","182","tight"
"come-back-home-america","Come Back Home, America","Madison","Kathy Miner","183","tight"
"our-eyes-have-seen-the-horror","Our Eyes Have Seen the Horror","Tuolumne & Calaveras Counties","Lori Underwood","183","tight"
"police-brutality","Police Brutality","New York City Metro","Nora Freeman","183","tight"
"single-payer-not-happening","Single Payer Not Happening","Unknown","Robin A Vosburg","183","tight"
